vaccine,dose,geography_type,geography,birth_year_birth_cohort,dimension_type,dimension,estimate_percent,x95_percent_ci_percent,sample_size,year
DTaP,≥4 Doses,States/Local Areas,Washington,2021,Age,24 Months,81.4,75.9 to 86.3,394,2023
DTaP,≥4 Doses,States/Local Areas,Washington,2022,Age,24 Months,88,81.9 to 92.8,211,2024
DTaP,≥4 Doses,States/Local Areas,West Virginia,2018,Age,24 Months,78.5,72.2 to 84.2,252,2020
DTaP,≥4 Doses,States/Local Areas,West Virginia,2019,Age,24 Months,76.6,69.5 to 83.1,201,2021
DTaP,≥4 Doses,States/Local Areas,West Virginia,2020,Age,24 Months,75.9,69.3 to 82.0,271,2022
DTaP,≥4 Doses,States/Local Areas,West Virginia,2021,Age,24 Months,81.4,75.6 to 86.6,279,2023
DTaP,≥4 Doses,States/Local Areas,West Virginia,2022,Age,24 Months,86.4,79.3 to 92.0,180,2024
DTaP,≥4 Doses,States/Local Areas,Wisconsin,2018,Age,24 Months,81,74.0 to 87.0,241,2020
DTaP,≥4 Doses,States/Local Areas,Wisconsin,2019,Age,24 Months,80.7,73.7 to 86.8,224,2021
DTaP,≥4 Doses,States/Local Areas,Wisconsin,2020,Age,24 Months,78.9,72.5 to 84.6,287,2022
DTaP,≥4 Doses,States/Local Areas,Wisconsin,2021,Age,24 Months,80.1,73.7 to 85.8,317,2023
DTaP,≥4 Doses,States/Local Areas,Wisconsin,2022,Age,24 Months,90.2,84.6 to 94.4,164,2024
DTaP,≥4 Doses,States/Local Areas,Wyoming,2018,Age,24 Months,76.3,69.5 to 82.6,280,2020
DTaP,≥4 Doses,States/Local Areas,Wyoming,2019,Age,24 Months,79,72.4 to 85.0,260,2021
DTaP,≥4 Doses,States/Local Areas,Wyoming,2020,Age,24 Months,76.3,70.0 to 82.1,296,2022
DTaP,≥4 Doses,States/Local Areas,Wyoming,2021,Age,24 Months,71.3,64.3 to 77.9,306,2023
DTaP,≥4 Doses,States/Local Areas,Wyoming,2022,Age,24 Months,80.3,71.3 to 87.9,157,2024
