vaccine,dose,geography_type,geography,birth_year_birth_cohort,dimension_type,dimension,estimate_percent,x95_percent_ci_percent,sample_size,year
DTaP,≥4 Doses,States/Local Areas,Florida,2022,Age,24 Months,84.5,78.0 to 89.9,203,2024
DTaP,≥4 Doses,States/Local Areas,Georgia,2018,Age,24 Months,74.9,66.6 to 82.5,282,2020
DTaP,≥4 Doses,States/Local Areas,Georgia,2019,Age,24 Months,78.7,70.3 to 86.0,273,2021
DTaP,≥4 Doses,States/Local Areas,Georgia,2020,Age,24 Months,78.8,70.2 to 86.3,338,2022
DTaP,≥4 Doses,States/Local Areas,Georgia,2021,Age,24 Months,77.3,71.5 to 82.6,376,2023
DTaP,≥4 Doses,States/Local Areas,Georgia,2022,Age,24 Months,76,66.0 to 84.9,193,2024
DTaP,≥4 Doses,States/Local Areas,Hawaii,2018,Age,24 Months,83.4,76.5 to 89.2,268,2020
DTaP,≥4 Doses,States/Local Areas,Hawaii,2019,Age,24 Months,78.9,72.5 to 84.7,246,2021
DTaP,≥4 Doses,States/Local Areas,Hawaii,2020,Age,24 Months,78.6,71.4 to 84.9,201,2022
DTaP,≥4 Doses,States/Local Areas,Hawaii,2021,Age,24 Months,83.8,77.2 to 89.4,238,2023
DTaP,≥4 Doses,States/Local Areas,Hawaii,2022,Age,24 Months,80.9,70.9 to 89.1,140,2024
DTaP,≥4 Doses,States/Local Areas,Idaho,2018,Age,24 Months,82.5,77.3 to 87.1,443,2020
DTaP,≥4 Doses,States/Local Areas,Idaho,2019,Age,24 Months,80.5,74.4 to 86.0,306,2021
DTaP,≥4 Doses,States/Local Areas,Idaho,2020,Age,24 Months,80.6,74.5 to 86.0,286,2022
DTaP,≥4 Doses,States/Local Areas,Idaho,2021,Age,24 Months,76.5,69.3 to 83.1,251,2023
DTaP,≥4 Doses,States/Local Areas,Idaho,2022,Age,24 Months,80.5,73.4 to 86.8,175,2024
DTaP,≥4 Doses,States/Local Areas,Illinois,2018,Age,24 Months,78.4,73.4 to 83.1,542,2020
DTaP,≥4 Doses,States/Local Areas,Illinois,2019,Age,24 Months,79.9,74.9 to 84.4,548,2021
DTaP,≥4 Doses,States/Local Areas,Illinois,2020,Age,24 Months,82.9,78.4 to 86.8,549,2022
DTaP,≥4 Doses,States/Local Areas,Illinois,2021,Age,24 Months,81.2,76.8 to 85.2,601,2023
DTaP,≥4 Doses,States/Local Areas,Illinois,2022,Age,24 Months,80.7,74.0 to 86.6,282,2024
DTaP,≥4 Doses,States/Local Areas,Indiana,2018,Age,24 Months,79.4,72.8 to 85.3,272,2020
DTaP,≥4 Doses,States/Local Areas,Indiana,2019,Age,24 Months,79.2,71.4 to 85.9,209,2021
DTaP,≥4 Doses,States/Local Areas,Indiana,2020,Age,24 Months,80.7,73.9 to 86.7,232,2022
DTaP,≥4 Doses,States/Local Areas,Indiana,2021,Age,24 Months,79.5,72.7 to 85.5,228,2023
DTaP,≥4 Doses,States/Local Areas,Indiana,2022,Age,24 Months,85.1,76.9 to 91.6,123,2024
DTaP,≥4 Doses,States/Local Areas,Iowa,2018,Age,24 Months,88.3,82.1 to 93.2,255,2020
DTaP,≥4 Doses,States/Local Areas,Iowa,2019,Age,24 Months,89.1,83.7 to 93.4,250,2021
DTaP,≥4 Doses,States/Local Areas,Iowa,2020,Age,24 Months,80.3,73.5 to 86.3,271,2022
DTaP,≥4 Doses,States/Local Areas,Iowa,2021,Age,24 Months,84.2,77.4 to 89.9,276,2023
DTaP,≥4 Doses,States/Local Areas,Iowa,2022,Age,24 Months,87.7,81.1 to 92.8,178,2024
DTaP,≥4 Doses,States/Local Areas,Kansas,2018,Age,24 Months,78.7,72.4 to 84.4,395,2020
DTaP,≥4 Doses,States/Local Areas,Kansas,2019,Age,24 Months,80.6,74.8 to 85.8,358,2021
DTaP,≥4 Doses,States/Local Areas,Kansas,2020,Age,24 Months,75.6,69.8 to 81.0,368,2022
DTaP,≥4 Doses,States/Local Areas,Kansas,2021,Age,24 Months,77.7,71.8 to 83.2,390,2023
DTaP,≥4 Doses,States/Local Areas,Kansas,2022,Age,24 Months,76.9,69.3 to 83.8,220,2024
DTaP,≥4 Doses,States/Local Areas,Kentucky,2018,Age,24 Months,80.2,73.5 to 86.2,278,2020
DTaP,≥4 Doses,States/Local Areas,Kentucky,2019,Age,24 Months,87.6,81.5 to 92.4,271,2021
DTaP,≥4 Doses,States/Local Areas,Kentucky,2020,Age,24 Months,78.8,72.0 to 84.9,324,2022
DTaP,≥4 Doses,States/Local Areas,Kentucky,2021,Age,24 Months,79.5,73.7 to 84.7,333,2023
DTaP,≥4 Doses,States/Local Areas,Kentucky,2022,Age,24 Months,79,69.7 to 87.0,186,2024
DTaP,≥4 Doses,States/Local Areas,Louisiana,2018,Age,24 Months,72.5,65.6 to 79.0,401,2020
DTaP,≥4 Doses,States/Local Areas,Louisiana,2019,Age,24 Months,77.2,70.9 to 83.1,411,2021
DTaP,≥4 Doses,States/Local Areas,Louisiana,2020,Age,24 Months,78.1,71.3 to 84.2,433,2022
