state,bill_number,bill_status,text_description,comments,bill_valency
Idaho,ID SB 1210,Enacted,"Prohibits the mandate of any medical interventions, including vaccines, in the state (excluding facilities who receive Medicaid/Medicare and [pending legal interpretation] schools).",NA,Bad
Illinois,IL HB 767,Enacted,Empowers the IL DPH to make vaccine guidelines through its own Immunization Advisory Committee and requires insurance coverage for vaccines recommended by the state,NA,Good
Illinois,IL SR 213,Not enacted,Urges government stakeholders to work with clinicians and families to ensure children are fully vaccinated before starting school,NA,Good
Illinois,IL HR 129,Enacted,Declares a specified date as Vaccine Awareness Day to educate the public about the importance of vaccines and urges the Department of Health to continue prioritizing and investing in immunization,NA,Good
Indiana,IN SB 174,Not enacted,"Would change immunization reporting requirements, prohibit health care providers from being required to perform services that ""violate their conscience"", and require documentation of vaccination history for children whose deaths are being reviewed",NA,Bad
Indiana,IN HB 1224,Not enacted,Would establish a state VAERS,NA,Bad
Indiana,IN HB 1168,Not enacted,Would prohibit vaccine mandates across settings,NA,Bad
Indiana,IN HB 1071,Not enacted,Would expand non-medical exemptions,NA,Bad
Indiana,IN HB 1344,Not enacted,Would establish state-level vaccination adverse event reporting system,NA,Bad
Iowa,IA SF 2345,Not enacted,Would require communications about vaccination recommendations to include information about exemptions,NA,Bad
Iowa,IA HF 2710,Not enacted,Would loosen requirements for obtaining a religious exemption to school vaccine requirements,NA,Bad
Iowa,IA SF 304,Enacted,Removes minor's ability to consent to vaccination for a sexually transmitted disease or infection,Sent to Governor 5/5/26,Bad
Iowa,IA HF 2171,Not enacted,Would eliminate vaccination requirements in elementary and secondary education,NA,Bad
Kansas,KS SB 315,Not enacted,Would require child care facilities and educational institutions to grant exemptions from vaccine requirements without inquiring into the sincerity of the request,Failed to pass in the 2023-2024 legislative session.,Bad
Kansas,KS SB 19,Not enacted,Would provide right to refuse vaccines for reasons of conscience,NA,Bad
Kansas,KS HB 2369,Not enacted,Would allow pharmacists to order and administer FDA-approved vaccines for individuals 7 years and older,NA,Good
Kansas,KS HB 2045,Enacted,Changes religious vaccine exemptions for childcare facilities to loosen exemption procedures for parents with “sincerely held” religious beliefs,NA,Bad
Kansas,KS SB 522,Not enacted,"Would establish the Kansas medical freedom act, which would prevent government entities and schools from denying access based on vaccination status",NA,Bad
Kentucky,KY HB 466,Not enacted,Would remove hepatitis B vaccination requirement and require state legislature approval for any additional immunization requirements,NA,Bad
Kentucky,KY HB 629,Not enacted,Would prohibit health care providers from refusing to treat people who have not received a particular vaccine,NA,Bad
Kentucky,KY HB 110,Not enacted,Would expand non-medical vaccination exemptions to allow for conscientious objection,NA,Bad
Kentucky,KY HB 695,Not enacted,"Would prohibit insurers from imposing cost-sharing requirements on preventive services, including routine immunizations",NA,Good
Kentucky,KY SR 282,Enacted,Encourages all Kentuckians to be vaccinated against preventable illnesses,NA,Good
Louisiana,LA SB 36,Not enacted,Would expand informed consent process for vaccine administration and would prohibit individuals from consenting to vaccination within 12 hours of childbirth,NA,Bad
Louisiana,LA HB 1041,Not enacted,"Would establish the ""Louisiana Medical Freedom Act"", which would prohibit schools and other government entities from requiring vaccination as a condition of access",NA,Bad
Louisiana,LA HB 655,Enacted,Increases the patient's fee for vaccines at public health units from $10 to $50,NA,Bad
Louisiana,LA HB 737,Not enacted,Would remove requirement for vaccines to prevent meningococcal diseases as a condition for school entry,NA,Bad
Maine,ME SB 2146,Enacted,Expands state's Universal Purchase program to allow for purchase of vaccines recommended by AAP and other medical organizations and protects pharmacists who administer state-recommended vaccines from civil liability,NA,Good
Maine,ME HB 107,Not enacted,Would restore religious exemptions to immunization requirements,Failed to passed,Bad
Maine,ME LD 1883,Not enacted,"Would establish Maine Health Plan for all residents, covering all childhood and adult vaccinations",Failed to passed,Good
Maine,ME SB 478,Enacted,Allows pharmacists to administer vaccines to children 3 years and older with a prescription,NA,Good
Maine,ME HB 2071,Enacted,"Requires insurance carriers to provide coverage for vaccines without cost-sharing and allows pharmacists to prescribe, dispense, and administer FDA-licensed vaccines regardless of ACIP recommendation",NA,Good
Maryland,MD HB 1135,Enacted,Allows pharmacists to order certain vaccinations for individuals 3 years or older without having to also administer the vaccine,NA,Good
Maryland,MD SB 385,Enacted,Establishes authority for the DOH secretary to issue official immunization recommendations outside of ACIP recommendations that pharmacists can administer and that insurers must cover without cost-sharing,NA,Good
Maryland,MD HB 608,Not enacted,Would require county board of education to grant students temporary admission to schools if parent is unable to provide proof of immunization,Died in committee,Bad
Maryland,MD HB 974,Enacted,Allows the health commissioner to adopt regulations as needed to ensure that health insurers cover all vaccines recommended by the Advisory Committee on Immunization Practices (ACIP) as of December 2024.,NA,Good
Maryland,MD HB 184,Not enacted,"Would establish Healthy Maryland Program, which would provide comprehensive, universal health care services for state residents, including immunizations",NA,Good
Massachusetts,MA HB 4761,Enacted,Gives health commissioner the authority to independently make decisions regarding childhood vaccine requirements with the help of a newly established committee on immunization recommendations,NA,Good
Massachusetts,MA SB 1557,Not enacted,Would require all schools to annually report aggregate immunization data and to make school-level data public,NA,Good
Massachusetts,MA SB 1618,Not enacted,Specifies requirements for obtaining exemptions to vaccine requirements and immunization data reporting,NA,Good
Massachusetts,MA HB 3072,Not enacted,Would provide a $100 tax credit for residents who provide proof of vaccination,NA,Good
Massachusetts,MA HB 1081,Not enacted,Would require insurers to cover recommended vaccines without cost-sharing,NA,Good
Michigan,MI HR 250,Enacted,Declared School-Based Health Care Awareness Week,NA,Good
Michigan,MI SB 797,Not enacted,Would prohibit more stringent requirements for obtaining immunization exemptions,NA,Bad
Michigan,MI SB 107,Not enacted,Would require insurers to cover recommended vaccines administered by pharmacists within insurer network,"Engrossed on 4/22/25, 50% progression",Good
Michigan,MI SB 219,Enacted,Permits pharmacists to order and administer vaccines to children 3 years and older,Passed in the 2023-2024 legislative session,Good
Michigan,MI HB 6205,Not enacted,Would add requirements for obtaining a nonmedical exemption to vaccine requirements,NA,Good
Minnesota,MN SF 3859,Not enacted,Would expand insurance coverage for preventive services to include vaccines recommended by AAP and the West Coast Health Alliance in addition to ACIP recommendations and establish Science-Based Vaccine Advisory Council,NA,Good
Minnesota,MN SF 4017,Not enacted,Would require caregivers seeking an immunization exemption to complete an educational consultation with provider,NA,Good
Minnesota,MN SF 4458,Not enacted,Would eliminate conscientious exemptions to vaccine requirements and remove references to ACIP recommendations,NA,Good
Minnesota,MN HF 4373,Not enacted,Would expand required insurance coverage to vaccines recommended by professional organizations in addition to those recommended by ACIP,NA,Good
Mississippi,MS HB 1184,Not enacted,Would prohibit insurers from denying coverage because a person is unvaccinated,NA,Bad
Mississippi,MS SB 2533,Not enacted,Would allow parents to opt-out of IIS for their children,NA,Bad
Mississippi,MS HB 1244,Not enacted,Would allow parents to claim non-medical exemptions with just a signed letter,NA,Bad
Mississippi,MS HB 1506,Not enacted,Would expand non-medical exemptions to include philosophical and conscientious exemptions,"Introduced 2023-24, not enacted",Bad
Missouri,MO SB 1705,Not enacted,Would require health plans to cover ACIP-recommended vaccines without cost-sharing,NA,Good
Missouri,MO HB 2374,Not enacted,Would prohibit health care providers from refusing health care services to children based on vaccination status and would prohibit physician/physician group from dismissing a child from the practice based on refusal to consent to vaccination,NA,Bad
Missouri,MO HB 2372,Not enacted,"Would allow pharmacists to administer to those 7 years or older vaccines recommended by CDC after Jan 1, 2026 (previously those approved as of 2023)",NA,Good
Missouri,MO SB 374,Not enacted,Would allow dentists to administer vaccines to their patients,Died in committee,Good
Missouri,MO SJR 37,Not enacted,"This constitutional amendment would prohibit laws or policies from infringing upon individuals' right to refuse medical procedures, potentially overriding existing laws limiting exemptions to medical or religious reasons.",Died in committee,Bad
Montana,MT SB 474,Not enacted,Would require acceptance of religious and personal medical exemptions to mandated immunizations,NA,Bad
Montana,MT LC 1384,Not enacted,Would direct the health department to pursue a Medicaid waiver to provide full immunization coverage for individuals experiencing homelessness,NA,Good
Montana,MT HB 364,Not enacted,Would require schools to report deidentified vaccination and exemption data to the state,NA,Good
Nebraska,NE LB 203,Enacted,"Requires health director to receive written approval by county board/city council prior to issuing directed health measures to address communicable diseases, including vaccination",NA,Bad
Nebraska,NE LB 202,Not enacted,Would allow pharmacy technicians to administer vaccines,2023-24 session,Good
Nebraska,NE LB 374,Not enacted,"Would establish a ""parental bill of rights,"" including reinforcing parents' ability to opt out of school immunization (e.g., via religious exemptions)",2023-24 session,Bad
Nebraska,NE LB 1028,Not enacted,Would require that local and county health departments receive state-level approval for vaccination efforts,2023-24 session,Bad
Nevada,NV SB 192,Not enacted,Would require health insurance plans to cover recommended childhood vaccines,Failed,Good
New Hampshire,NH HB 1811,Not enacted,Would reframe school vaccination requirements as recommendations,NA,Bad
New Hampshire,NH 1584,Not enacted,Would require communications promoting vaccination to prominently display information on obtaining exemptions and would simplify the process to obtain a religious exemption,NA,Bad
New Hampshire,NH HB 1719,Not enacted,Would remove hepatitis B from list of required childhood immunizations,NA,Bad
New Hampshire,NH HB 358,Not enacted,"Would eliminate the form needed to obtain a religious exemption, allowing such exemptions with a signed statement from a parent",Vetoed by governor,Bad
New Hampshire,NH HB 524,Not enacted,"Would repeal the state's Vaccine Association, which is responsible for the universal purchase of vaccines",Retained - will come back next session for a vote,Bad
New Jersey,NJ A 4433,Not enacted,Would repeal required insurance coverage for vaccines without an ACIP recommendation,NA,Bad
New Jersey,NJ S 2543,Not enacted,Would prohibit requirements for HPV vaccination for school attendance,NA,Bad
New Jersey,NJ S 3020,Not enacted,Would replace references to ACIP recommendations with references to recommendations made by DOH within state insurance requirements,Failed,Good
New Jersey,NJ S 2987,Not enacted,"Would automatically enroll those not currently enrolled in the state IIS at the time of immunization administration, unless they provide a written request to opt-out",NA,Good
New Jersey,NJ S 2434,Not enacted,Would change IIS to opt-in system,NA,Bad
New Mexico,NM HB 156,Enacted,Shifts source of childhood vaccination requirements from federal entities to state DOH,NA,Good
New Mexico,NM HB 306,Enacted,"Prohibits health providers from charging, billing, or collecting fees directly from patients for vaccination services provided in an outpatient setting",NA,Good
New Mexico,NM SB 508,Not enacted,Would codify the requirement for insurers to fully cover all vaccines recommended by the Advisory Committee on Immunization Practices (ACIP),NA,Good
New York,NY S 8853,Not enacted,"Would expand vaccination requirements to consider recommendations of AAP, AAFP, ACOG, ACP, or ACIP",NA,Good
New York,NY S 8723,Not enacted,"Would enact ""New York anti-mandate act"", which would prohibit schools from mandating medical interventions",NA,Bad
New York,NY S 9849,Not enacted,Would add flexibility to include recommendations from commissioner of health in scope of practice for non-physician providers and insurance coverage requirements,NA,Good
New York,NY S 9604,Not enacted,Would ensure that those administering vaccines in accordance with health commissioner recommendations cannot be held liable for injury,NA,Good
New York,NY A 10711,Enacted,"Allows for consideration of vaccination recommendations made by professional organizations (such as AAP, ACOG, etc.) in lieu of ACIP recommendations in various immunization-related laws",NA,Good
North Carolina,NC HB 803,Not enacted,Would require vaccines added to state immunization schedule to have been approved by FDA for at least 3 years,Recessed,Bad
North Carolina,NC SB 373,Not enacted,Would prohibit health care providers from refusing patients who are not up-to-date on vaccinations,Recessed,Bad
North Carolina,NC HB 380,Not enacted,"Would expand non-medical vaccination exemptions to include ""conscientious objections""",Recessed,Bad
North Dakota,ND HB 1454,Enacted,"Would establish an opt-out procedure for required vaccines based on health, religious, or philosophical grounds",NA,Bad
North Dakota,ND HB 1457,Not enacted,Would allow individuals to claim exemption from vaccine requirements if the vaccine does not meet several strict criteria,NA,Bad
Ohio,OH HB 289,Not enacted,"Would establish a universal health care plan for state residents, including coverage for immunizations",Referred to committee,Good
Ohio,OH SB 144,Enacted,Allows pharmacists and pharmacy technicians to administer vaccines to children 5 and over,2023-24,Good
Oklahoma,OK SB 1560,Not enacted,"Would establish Oklahoma Medical Freedom Act, which prohibits schools from requiring medical interventions for persons attending or employed",NA,Bad
Oklahoma,OK SB 1656,Not enacted,"Would codify the right to refuse vaccination, including in education institutions",NA,Bad
Oklahoma,OK SB 1548,Not enacted,Would hold vaccine manufacturers liable if they advertise a vaccine that causes harm or injury to an individual,NA,Bad
Oklahoma,OK SB 1568,Not enacted,Would align hepatitis B vaccination requirements with new ACIP guidelines and prohibit health care facilities from requiring hepatitis B vaccination as a condition of discharge,NA,Bad
Oregon,OR SB 1598,Enacted,Allows the public health officer to determine vaccines that require insurance coverage and to issue respective standing orders for their administration outside of ACIP recommendations,NA,Good
Oregon,OR HB 4135,Enacted,Declares March 4th HPV Awareness Day,NA,Good
Oregon,OR SB 383,Not enacted,"Would prohibit discrimination based on vaccination status, including for schoolchildren",Failed,Bad
Oregon,OR SJR 31,Not enacted,Proposes an amendment to the Oregon Constitution to prohibit requiring any specific vaccine unless encoded by state law,NA,Bad
Oregon,OR S 42,Not enacted,"Would give money to Oregon Health Authority for the Vaccine Access Program, for vaccine purchases",NA,Good
Pennsylvania,PA SB 1195,Not enacted,Would require insurers to cover vaccination without cost-sharing,NA,Good
Pennsylvania,PA HB 695,Not enacted,"Would require providers to continue caring for children who do not follow the recommended vaccine schedule, as long as they receive one vaccine each year",Referred to committee,Bad
Pennsylvania,PA HB 447,Not enacted,Would require schools to prominently disseminate information on how to obtain vaccination exemptions,Referred to committee,Bad
Pennsylvania,PA HB 1828,Not enacted,"Would allow the PA Department of Health to make the vaccine schedule, referring to the Advisory Committee on Immunization Practices (ACIP), AAP, and other sources",NA,Good
Puerto Rico,"Puerto Rico Fundamental Right to Religious Freedom Act (Law No. 14 of April 13, 2025)",Enacted,Prohibits government from voiding a religious vaccine exemption even during an epidemic unless parental consent is provided; adds requirements to informed consent process,NA,Bad
