state,bill_number,1_include_in_brief,1_enacted_0_not_enacted,1_good_0_bad,text_description,comments
Delaware,DE HB 225,1,1,1,"Provides for the reimbursement of vaccine administration fees to eligible providers for vaccines administered to eligible children under the Vaccines for Children (VFC) program, in accordance with rates set by the Division of Medicaid and Medical Assistance in conjunction with the CDC. If funding levels permit, these funds may also be used to upgrade and maintain the state immunization registry (DelVAX).",NA
Delaware,DE HB 338,1,0,1,"Would require insurers to cover without cost-sharing immunizations recommended by ACIP or other national clinical guidelines as of January 1, 2025",
Florida,FL HB 765,0,0,0,"Would remove requirement of ""large family child care homes"" to educate parents about the importance of influenza vaccination",
Florida,FL SR 1244,0,0,1,"Would recognize August 2026 as ""Immunization Awareness Month""",
District of Columbia,DC B26-0606,1,0,1,Would protect physicians from being held liable for claims resulting from vaccine administration,
Florida,FL SB 188,0,0,0,Similar to HB 819,
District of Columbia,DC B26-0414,1,0,1,"Allows providers to administer immunizations recommended by non-federal organizations (e.g., AAP)",
Florida,FL SB 110,0,0,1,"Would establish a Primary and Preventive Care Grant Program to provide funding to providers in rural areas of the state, which may be used to purchase vaccines",NA
District of Columbia,DC B 278,1,1,1,"Requires schools to annually distribute immunization information, including information on how to obtain immunizations, in languages other than English",Enacted- 1/23/2024
Florida,FL HB 917 & SB 1756,1,0,0,"Would add steps to vaccination consent process, allow for exemptions of conscience, require exemption form to be made publicly available on DoH website, and prohibit discrimination based on vaccination status",Died in committee
Montana,MT HB 118 (LC 1352)-,0,1,0,Provides a 30-day grace period for children of military families to adhere to school vaccination requirements,NA
Florida,FL HB 819,1,0,0,Would require medical examiners to review and document immunization history for all sudden and unexplained infant and child deaths and report these deaths to national case registry,Died in committee
Florida,FL SB 408 & HB 339,1,0,0,"Would hold manufacturers liable for vaccine harm if they advertise a vaccine in the state and that vaccine ""causes harm or injury""",Died in committee
Florida,FL SB 1752,1,0,1,Would establish a universal state health plan ('Florida Health Plan') that includes coverage for vaccines,NA
Montana,MT SB 285,0,0,0,Removes or modifies vaccine requirements for daycares and private schools,NA
Montana,NA,NA,NA,NA,NA,NA
Florida,FL SB 1299,1,1,0,Prohibits discrimination based on vaccination status in educational institutions,NA
Georgia,GA HB 1350,1,0,0,"Would establish ""Georgia Medical Freedom Act"", repealing the authority of the Department of Public Health to require vaccinations and prohibiting schools from requiring medical interventions",
Georgia,GA SR 813,1,0,0,Urges the Department of Public Health to conduct a study on the relationship between sudden infant/child deaths and vaccinations,
New Mexico,NA,NA,NA,NA,NA,NA
Georgia,GA SB 546,1,0,0,Would require medical examiners to review immunization records of a child who dies unexpectedly and would give medical examiners access to immunization records without consent,
Georgia,GA SB 262,1,0,1,"Would require insurers to fully cover preventive services, including immunization, without cost-sharing requirements",
Georgia,GA SR 304,1,1,1,Includes RSV vaccination and monoclonal antibodies within the Vaccines for Children program,
Hawaii,HI SB 2472,1,0,0,"Would expand religious vaccination exemptions, such as by removing requirement that parent is an established member of a recognized church, and require (rather than authorizes) schools to provide exemptions",
Hawaii,HI HB 2512,1,0,0,Would establish Hawaii Medical Freedom Act and prohibit schools and other establishments from imposing vaccination requirements ,
Hawaii,HI HB 2313,1,0,1,Would establish Hawaii preventive services advisory committee to provide scientific-backed guidance on vaccine requirements and insurance coverage,
Hawaii,HI HB 2199,1,0,0,"Would restrict schools and other organizations from imposing restrictions on an individual's ""right to bodily autonomy"", including vaccination requirements",
Minnesota,MN HF 3219 & MN SF 3456,NA,0,0,Would designate mRNA vaccines as weapons of mass destruction and prohibit their use,Not eligible (only covers COVID at the moment) but still found interesting
Minnesota,MN HF 91,0,0,0,Would require a parent or legal guardian to be present for vaccine administration to a minor,
Minnesota,MN HF 3239 & MN SF 3439,0,0,1,"Would prohibit the use of an exemption to immunization due to conscientiously held beliefs for immunization against measles, mumps, and rubella",Died in committee
Minnesota,MN HF 3240 & MN SF 3438,NA,0,1,Would establish a targeted grant program to address outbreaks of VPDs,Died in committee
Minnesota,MN HF 3152,NA,0,0,Would prohibit administration of gene-based vaccines,Died in committee
Minnesota,MN HF 2884,NA,0,0,Would prohibit enforcement of government vaccine mandates and allow for proof of natural antibodies as vaccination alternative,Died in committee
Minnesota,MN HF 481 & SF 1529,NA,0,0,Would prohibit discrimination against individual who refuses medical interventions for reasons of conscience,Does not apply to children but found this interesting - died in committee
Minnesota,MN SF 717,NA,0,0,Would prohibit enforcement of government vaccine mandates,Died in committee
Minnesota,MN SF 929 & HF 1812,0,0,1,Would establish a state health plan covering child immunizations,Died in committee
Idaho,ID HF 574,1,0,0,"Would prohibit medical mandates for school attendance, weaken the state immunization registry, and would frame vaccines as ""voluntary"" rather than ""not mandatory""",
Idaho,ID H 290,1,1,0,"Codifies immunization and documentation requirements for schools and daycares, including a simple opt-out process for exemptions",NA
Idaho,ID H 438,1,0,0,"Would require that all school communications to parents about vaccine requirements include information about non-medical exemptions and state that ""immunizations are not mandatory""",
Minnesota,MN SF 698 & HF 2815,NA,0,0,Would prohibit local enforcement of federal vaccine passports,Died in committee
Minnesota,MN SF 839,0,0,0,Would require a parent or legal guardian to be present for vaccination of a minor,Died in committee
Minnesota,MN SF 694 & HF 92,0,0,0,"Would establish a ""Bill of Rights"" for vaccine recipients, requiring ""independent information from sources other than vaccine manufacturers, governmental entities, or quasi-governmental entities""",Died in committee
Minnesota,MN HF 2860 & SF 3048,NA,0,1,Would authorize local health departments to obtain vaccines and proposed form of epinephrine according to standing order,died in committee - not sure what this means exactly
Minnesota,MN SF 389,NA,0,0,Would prohibit residence of public assistance benefits for families due to vaccination status,Died in committee but thought it was interesting
Mississippi,MS SB 2070,0,0,1,"Would allow homeschool students to participate in public school extracurriculars as long as they meet certain requirements, including complying with school immunization requirements",
Mississippi,MS HB 609,0,0,1,Same as above,
Mississippi,MS HB 1180,0,0,0,Would require medical examiners to notify family members of a person whose death may have been caused COVID-19 vaccination,
Mississippi,MS HB 1181,0,0,0,Would require state to investigate pharmaceutical companies who developed and distributed COVID-19 vaccination,
Idaho,ID SB 1210,1,1,0,"Prohibits the mandate of any medical interventions, including vaccines, in the state (excluding facilities who receive Medicaid/Medicare and [pending legal interpretation] schools).",NA
Mississippi,MS SB 2457,0,0,0,Same as above,
Mississippi,MS SB 2481,0,0,0,Same as above,
Illinois,IL SB 3487,1,0,1,Would require hospitals to expand influenza and pneumococcal immunization policies to reach wider age groups,
Mississippi,MS SB 2551,0,0,1,Would require hospitals to offer influenza immunizations to inpatients age 50 and older before discharge,
Illinois,IL HB 767,1,1,1,Empowers the IL DPH to make vaccine guidelines through its own Immunization Advisory Committee and requires insurance coverage for vaccines recommended by the state,
Mississippi,MS HB 645,0,0,0,Would prohibit administration of COVID mRNA vaccines pending state DOH analysis of benefits/risks,
Illinois,IL SR 213,1,0,1,Urges government stakeholders to work with clinicians and families to ensure children are fully vaccinated before starting school,NA
Mississippi,MS HB 1066,NA,1,0,Provides a 30-day grace period for children of military families to adhere to school vaccination requirements,I don't think this is new â€“Â maybe it was missing from the state legislation but it looks like this was already a thing in all states
Mississippi,MS HB 1571,0,0,0,Would expand and facilitate non-medical vaccination exemptions,Died in committee
Mississippi,MS HB 1422,0,0,0,Would prohibit provider incentives for vaccination,Died in committee
