Vaccine,Dose,Geography Type,Geography,Birth Year/Birth Cohort,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Hib,≥3 Doses,States/Local Areas,Iowa,2016,Age,7 Months,38.7,30.5 to 47.7,198
Hib,≥3 Doses,States/Local Areas,Iowa,2016-2017,Age,7 Months,38.5,32.7 to 44.6,426
Polio,≥1 Dose,States/Local Areas,Iowa,2017,Age,3 Months,87.7,81.5 to 92.0,228
Polio,≥1 Dose,States/Local Areas,Iowa,2017-2018,Age,3 Months,91.2,87.5 to 93.9,483
Polio,≥1 Dose,States/Local Areas,Iowa,2018,Age,3 Months,94.7,90.3 to 97.2,255
Polio,≥1 Dose,States/Local Areas,Iowa,2018-2019,Age,3 Months,94,90.4 to 96.3,505
PCV,≥3 Doses,States/Local Areas,Iowa,2019,Age,35 Months,94.6,89.0 to 97.9,250
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2017,Insurance Coverage,Other,96.7,92.1 to 100.0,49
Polio,≥1 Dose,States/Local Areas,Iowa,2019,Age,3 Months,93.2,86.8 to 96.6,250
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2019,Age,0-3 Days,85.9,79.3 to 90.7,250
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2014-2017,Insurance Coverage,Private Insurance Only,83.6,79.6 to 87.5,472
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2014-2017,Insurance Coverage,Other,76,62.1 to 89.9,49
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2014-2017,Insurance Coverage,Any Medicaid,82,77.0 to 87.0,297
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2014-2017,Race and Ethnicity,"Black, Non-Hispanic",86,74.4 to 97.6,37
DTaP,≥3 Doses,States/Local Areas,Iowa,2018,Age,7 Months,82.7,75.1 to 88.3,255
DTaP,≥3 Doses,States/Local Areas,Iowa,2018-2019,Age,7 Months,80.6,75.1 to 85.1,505
DTaP,≥3 Doses,States/Local Areas,Iowa,2019,Age,7 Months,78.4,69.8 to 85.1,250
DTaP,≥3 Doses,States/Local Areas,Iowa,2017,Age,7 Months,66.9,58.7 to 74.3,228
DTaP,≥3 Doses,States/Local Areas,Iowa,2017-2018,Age,7 Months,74.7,69.2 to 79.6,483
Hib,Primary Series,States/Local Areas,Iowa,2020,Age,24 Months,93.7,89.0 to 96.8,271
Hib,≥3 Doses,States/Local Areas,Iowa,2017,Age,7 Months,38.2,30.6 to 46.5,228
Hib,≥3 Doses,States/Local Areas,Iowa,2017-2018,Age,7 Months,36.9,31.5 to 42.5,483
Hib,≥3 Doses,States/Local Areas,Iowa,2018,Age,7 Months,35.5,28.3 to 43.4,255
Hib,≥3 Doses,States/Local Areas,Iowa,2018-2019,Age,7 Months,37,31.6 to 42.8,505
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",91.6,83.5 to 99.7,75
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2017,Race and Ethnicity,Hispanic,97.6,94.7 to 100.0,84
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2017,Race and Ethnicity,"Black, Non-Hispanic",88.7,76.4 to 100.0,37
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2017,Insurance Coverage,Any Medicaid,89.2,84.8 to 93.5,297
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2017,Insurance Coverage,Private Insurance Only,97.7,96.4 to 99.1,472
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2017,Poverty,<133% FPL,86.5,81.1 to 91.9,222
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2017,Overall,Overall,93.9,91.9 to 95.9,838
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2017,Urbanicity,Living In a Non-MSA,94.2,91.0 to 97.4,326
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2017,Urbanicity,Living In a MSA Non-Principal City,92.2,88.0 to 96.4,238
Hib,≥2 Doses,States/Local Areas,Iowa,2015,Age,13 Months,94.3,89.2 to 97.1,238
Hib,≥2 Doses,States/Local Areas,Iowa,2015-2016,Age,13 Months,95.9,93.1 to 97.6,436
Hib,≥2 Doses,States/Local Areas,Iowa,2016,Age,13 Months,97.5,94.7 to 98.9,198
Hib,≥2 Doses,States/Local Areas,Iowa,2016-2017,Age,13 Months,95.8,93.1 to 97.5,426
Hib,≥2 Doses,States/Local Areas,Iowa,2018,Age,7 Months,93.3,87.0 to 96.7,255
Hib,≥2 Doses,States/Local Areas,Iowa,2018-2019,Age,7 Months,93.6,89.6 to 96.1,505
PCV,≥3 Doses,States/Local Areas,Iowa,2014,Age,35 Months,92.7,88.5 to 95.9,277
PCV,≥3 Doses,States/Local Areas,Iowa,2014-2015,Age,35 Months,94.8,91.9 to 96.9,515
PCV,≥3 Doses,States/Local Areas,Iowa,2015,Age,35 Months,96.9,92.3 to 99.1,238
PCV,≥3 Doses,States/Local Areas,Iowa,2015-2016,Age,35 Months,97.6,94.6 to 99.1,436
PCV,≥3 Doses,States/Local Areas,Iowa,2016,Age,35 Months,98.7,94.8 to 99.8,198
PCV,≥3 Doses,States/Local Areas,Iowa,2016-2017,Age,35 Months,95.3,92.3 to 97.4,426
DTaP,≥3 Doses,States/Local Areas,Iowa,2014,Age,7 Months,73.3,66.5 to 79.2,277
DTaP,≥3 Doses,States/Local Areas,Iowa,2014-2015,Age,7 Months,75.6,70.8 to 79.8,515
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Poverty,<133% FPL,91.4,87.3 to 95.5,222
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Poverty,>400% FPL,97.5,95.4 to 99.6,238
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Poverty,133% to <400% FPL,96.1,94.0 to 98.2,378
Hib,≥3 Doses,States/Local Areas,Iowa,2012,Age,7 Months,44.8,36.9 to 52.9,247
Hib,≥3 Doses,States/Local Areas,Iowa,2011,Age,7 Months,47.1,38.7 to 55.6,220
Hib,≥3 Doses,States/Local Areas,Iowa,2013,Age,7 Months,43.3,40.6 to 46.0,265
Hib,≥3 Doses,States/Local Areas,Iowa,2013-2014,Age,7 Months,44.6,41.1 to 48.1,542
Polio,≥1 Dose,States/Local Areas,Iowa,2014,Age,3 Months,89,84.1 to 92.5,277
Polio,≥1 Dose,States/Local Areas,Iowa,2014-2015,Age,3 Months,90,86.4 to 92.7,515
Polio,≥1 Dose,States/Local Areas,Iowa,2015,Age,3 Months,91,85.0 to 94.8,238
Polio,≥1 Dose,States/Local Areas,Iowa,2015-2016,Age,3 Months,92.4,88.6 to 95.0,436
Polio,≥1 Dose,States/Local Areas,Iowa,2016,Age,3 Months,93.8,88.5 to 96.8,198
Polio,≥1 Dose,States/Local Areas,Iowa,2016-2017,Age,3 Months,90.8,86.8 to 93.6,426
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2017,Age,0-3 Days,79.9,69.1 to 87.6,125
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2017-2018,Age,0-3 Days,83.4,78.5 to 87.3,483
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2016,Age,0-3 Days,85.6,78.5 to 90.6,198
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2016-2017,Age,0-3 Days,84.1,79.3 to 87.9,426
Hib,≥2 Doses,States/Local Areas,Iowa,2014,Age,13 Months,95.1,91.0 to 97.4,277
Hib,≥2 Doses,States/Local Areas,Iowa,2014-2015,Age,13 Months,94.7,91.7 to 96.7,515
DTaP,≥3 Doses,States/Local Areas,Iowa,2011,Age,13 Months,91,86.9 to 93.9,220
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2014-2017,Race and Ethnicity,Hispanic,81.3,72.6 to 89.9,84
Hib,≥2 Doses,States/Local Areas,Iowa,2016,Age,7 Months,90.4,83.8 to 94.4,198
Hib,≥2 Doses,States/Local Areas,Iowa,2016-2017,Age,7 Months,90.1,85.8 to 93.2,426
Hib,≥2 Doses,States/Local Areas,Iowa,2017,Age,7 Months,89.9,83.5 to 93.9,228
Hib,≥2 Doses,States/Local Areas,Iowa,2017-2018,Age,7 Months,91.6,87.5 to 94.4,483
Hib,≥2 Doses,States/Local Areas,Iowa,2015,Age,7 Months,91.4,85.5 to 95.0,238
Hib,≥2 Doses,States/Local Areas,Iowa,2015-2016,Age,7 Months,90.9,86.6 to 93.9,436
PCV,≥3 Doses,States/Local Areas,Iowa,2019,Age,24 Months,94.6,89.0 to 97.9,250
PCV,≥3 Doses,States/Local Areas,Iowa,2011,Age,35 Months,93.1,86.9 to 97.0,220
PCV,≥3 Doses,States/Local Areas,Iowa,2013,Age,35 Months,97.2,92.0 to 99.4,265
PCV,≥3 Doses,States/Local Areas,Iowa,2013-2014,Age,35 Months,95.4,91.6 to 97.8,542
PCV,≥3 Doses,States/Local Areas,Iowa,2012,Age,35 Months,93.4,89.0 to 96.5,247
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",99.3,97.9 to 100.0,75
Hib,≥2 Doses,States/Local Areas,Iowa,2019,Age,7 Months,93.9,87.6 to 97.1,250
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Race and Ethnicity,Hispanic,98.1,95.5 to 100.0,84
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Urbanicity,Living In a MSA Principal City,95.1,92.5 to 97.8,274
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Race and Ethnicity,"White, Non-Hispanic",94.5,92.5 to 96.5,642
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2013,Age,0-3 Days,77.1,70.6 to 82.6,265
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2013-2014,Age,0-3 Days,75.8,71.0 to 79.9,542
Polio,≥1 Dose,States/Local Areas,Iowa,2013,Age,3 Months,90.4,85.7 to 93.6,265
Polio,≥1 Dose,States/Local Areas,Iowa,2013-2014,Age,3 Months,89.7,86.8 to 92.0,542
PCV,≥1 Dose,States/Local Areas,Iowa,2019,Age,3 Months,92.4,85.5 to 96.2,250
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Overall,Overall,95,93.3 to 96.7,838
Polio,≥1 Dose,States/Local Areas,Iowa,2012,Age,3 Months,84,79.6 to 87.5,247
Polio,≥1 Dose,States/Local Areas,Iowa,2011,Age,3 Months,87.8,83.6 to 91.1,220
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2014,Age,0-3 Days,74.4,67.8 to 80.1,277
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2014-2015,Age,0-3 Days,80,75.0 to 84.2,515
PCV,≥4 Doses,States/Local Areas,Iowa,2014-2017,Race and Ethnicity,"White, Non-Hispanic",86.7,83.3 to 90.1,642
PCV,≥4 Doses,States/Local Areas,Iowa,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",78.5,67.0 to 90.0,75
PCV,≥1 Dose,States/Local Areas,Iowa,2014,Age,3 Months,88.1,82.8 to 92.0,277
PCV,≥1 Dose,States/Local Areas,Iowa,2014-2015,Age,3 Months,88.8,84.9 to 91.8,515
PCV,≥1 Dose,States/Local Areas,Iowa,2015,Age,3 Months,89.5,83.0 to 93.7,238
PCV,≥1 Dose,States/Local Areas,Iowa,2015-2016,Age,3 Months,91.7,87.7 to 94.4,436
Hib,≥2 Doses,States/Local Areas,Iowa,2018,Age,5 Months,88.8,82.5 to 93.0,255
Hib,≥2 Doses,States/Local Areas,Iowa,2018-2019,Age,5 Months,88,83.3 to 91.5,505
Hib,≥2 Doses,States/Local Areas,Iowa,2019,Age,5 Months,87.2,79.6 to 92.2,250
Hib,≥2 Doses,States/Local Areas,Iowa,2011,Age,7 Months,87.6,84.3 to 90.2,220
PCV,≥3 Doses,States/Local Areas,Iowa,2016,Age,24 Months,97.6,94.0 to 99.3,198
PCV,≥3 Doses,States/Local Areas,Iowa,2016-2017,Age,24 Months,95.1,92.1 to 97.2,426
Hib,≥2 Doses,States/Local Areas,Iowa,2012,Age,7 Months,90.6,84.6 to 94.5,247
PCV,≥3 Doses,States/Local Areas,Iowa,2017,Age,24 Months,93.1,88.2 to 96.5,228
PCV,≥3 Doses,States/Local Areas,Iowa,2017-2018,Age,24 Months,93.6,90.1 to 96.1,483
PCV,≥3 Doses,States/Local Areas,Iowa,2018,Age,24 Months,94,88.6 to 97.4,255
PCV,≥3 Doses,States/Local Areas,Iowa,2018-2019,Age,24 Months,94.3,90.6 to 96.8,505
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2015,Age,0-3 Days,85.6,77.1 to 91.3,238
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2015-2016,Age,0-3 Days,85.6,80.3 to 89.6,436
DTaP,≥3 Doses,States/Local Areas,Iowa,2013,Age,7 Months,74.8,71.9 to 77.5,265
DTaP,≥3 Doses,States/Local Areas,Iowa,2013-2014,Age,7 Months,74.1,71.9 to 76.1,542
DTaP,≥3 Doses,States/Local Areas,Iowa,2012,Age,7 Months,71.5,68.9 to 74.0,247
DTaP,≥3 Doses,States/Local Areas,Iowa,2011,Age,7 Months,71.1,66.4 to 75.4,220
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2011,Age,0-3 Days,72.7,64.2 to 79.9,220
PCV,≥1 Dose,States/Local Areas,Iowa,2018,Age,3 Months,92.7,87.4 to 95.9,255
PCV,≥1 Dose,States/Local Areas,Iowa,2018-2019,Age,3 Months,92.6,88.6 to 95.2,505
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Insurance Coverage,Any Medicaid,92.4,89.0 to 95.8,297
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Iowa,2012,Age,0-3 Days,69.3,61.5 to 76.2,247
PCV,≥4 Doses,States/Local Areas,Iowa,2014-2017,Urbanicity,Living In a MSA Principal City,88.3,83.4 to 93.2,274
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Urbanicity,Living In a Non-MSA,95.2,92.4 to 98.1,326
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Urbanicity,Living In a MSA Non-Principal City,94.4,91.0 to 97.7,238
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Insurance Coverage,Private Insurance Only,97.1,95.6 to 98.7,472
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Insurance Coverage,Other,97.8,93.6 to 100.0,49
Hep B,≥3 Doses,States/Local Areas,Iowa,2014-2017,Race and Ethnicity,"Black, Non-Hispanic",88.7,76.4 to 100.0,37
PCV,≥1 Dose,States/Local Areas,Iowa,2016,Age,3 Months,93.9,88.5 to 96.8,198
PCV,≥1 Dose,States/Local Areas,Iowa,2016-2017,Age,3 Months,91.3,87.5 to 94.1,426
PCV,≥1 Dose,States/Local Areas,Iowa,2017,Age,3 Months,88.8,83.0 to 92.8,228
PCV,≥1 Dose,States/Local Areas,Iowa,2017-2018,Age,3 Months,90.7,87.0 to 93.5,483
PCV,≥4 Doses,States/Local Areas,Iowa,2014-2017,Poverty,>400% FPL,94.5,91.2 to 97.8,238
PCV,≥4 Doses,States/Local Areas,Iowa,2014-2017,Poverty,133% to <400% FPL,88,84.0 to 92.1,378
PCV,≥4 Doses,States/Local Areas,Iowa,2014-2017,Poverty,<133% FPL,77.9,71.2 to 84.5,222
PCV,≥4 Doses,States/Local Areas,Iowa,2014-2017,Overall,Overall,86.4,83.4 to 89.3,838
PCV,≥4 Doses,States/Local Areas,Iowa,2014-2017,Urbanicity,Living In a Non-MSA,86,81.2 to 90.8,326
PCV,≥4 Doses,States/Local Areas,Iowa,2014-2017,Urbanicity,Living In a MSA Non-Principal City,84.9,79.1 to 90.6,238
Hib,≥2 Doses,States/Local Areas,Iowa,2013,Age,7 Months,89.6,86.4 to 92.1,265
Hib,≥2 Doses,States/Local Areas,Iowa,2013-2014,Age,7 Months,90.8,87.6 to 93.3,542
Hib,≥2 Doses,States/Local Areas,Iowa,2014,Age,7 Months,92,87.4 to 95.0,277
Hib,≥2 Doses,States/Local Areas,Iowa,2014-2015,Age,7 Months,91.7,88.2 to 94.2,515
PCV,≥1 Dose,States/Local Areas,Iowa,2012,Age,3 Months,80.6,75.5 to 84.9,247
PCV,≥1 Dose,States/Local Areas,Iowa,2011,Age,3 Months,86,80.9 to 89.9,220
≥1 Dose MMR,,States/Local Areas,Iowa,2014-2017,Poverty,>400% FPL,95.8,92.8 to 98.7,238
≥1 Dose MMR,,States/Local Areas,Iowa,2014-2017,Poverty,133% to <400% FPL,93.8,91.0 to 96.6,378
≥1 Dose MMR,,States/Local Areas,Iowa,2014-2017,Poverty,<133% FPL,87,81.8 to 92.3,222
≥1 Dose MMR,,States/Local Areas,Iowa,2014-2017,Overall,Overall,92.1,89.9 to 94.3,838
≥1 Dose MMR,,States/Local Areas,Iowa,2014-2017,Urbanicity,Living In a Non-MSA,91.2,87.4 to 95.1,326
PCV,≥4 Doses,States/Local Areas,Iowa,2017,Age,35 Months,87.5,79.9 to 93.3,228
PCV,≥4 Doses,States/Local Areas,Iowa,2017-2018,Age,35 Months,90.9,86.1 to 94.6,483
PCV,≥4 Doses,States/Local Areas,Iowa,2018,Age,35 Months,94.4,87.7 to 98.1,255
PCV,≥4 Doses,States/Local Areas,Iowa,2018-2019,Age,35 Months,92.9,88.6 to 96.0,505
PCV,≥4 Doses,States/Local Areas,Iowa,2019,Age,35 Months,91.4,85.0 to 95.8,250
Hib,Full Series,States/Local Areas,Iowa,2020,Age,24 Months,76.8,68.6 to 84.3,271
PCV,≥3 Doses,States/Local Areas,Iowa,2018,Age,19 Months,93.8,87.6 to 97.0,255
PCV,≥3 Doses,States/Local Areas,Iowa,2018-2019,Age,19 Months,92.7,88.6 to 95.5,505
PCV,≥3 Doses,States/Local Areas,Iowa,2019,Age,19 Months,94.2,87.9 to 97.3,250
PCV,≥3 Doses,States/Local Areas,Iowa,2011,Age,24 Months,91.2,84.7 to 95.6,220
Hib,≥2 Doses,States/Local Areas,Iowa,2013,Age,5 Months,81.2,79.1 to 83.1,265
Hib,≥2 Doses,States/Local Areas,Iowa,2013-2014,Age,5 Months,81.1,76.5 to 84.9,542
Hib,≥2 Doses,States/Local Areas,Iowa,2014,Age,5 Months,81,75.0 to 85.8,277
Hib,≥2 Doses,States/Local Areas,Iowa,2014-2015,Age,5 Months,80.8,75.5 to 85.2,515
Hib,Full Series,States/Local Areas,Indiana,2021,Age,19 Months,77.6,67.3 to 85.3,137
DTaP,≥1 Dose,States/Local Areas,Indiana,2018,Age,3 Months,87.8,82.2 to 91.7,272
DTaP,≥1 Dose,States/Local Areas,Indiana,2018-2019,Age,3 Months,87.8,83.4 to 91.1,481
DTaP,≥3 Doses,States/Local Areas,Indiana,2015,Age,24 Months,91.4,86.1 to 95.3,251
DTaP,≥3 Doses,States/Local Areas,Indiana,2015-2016,Age,24 Months,92.5,89.2 to 95.1,536
DTaP,≥3 Doses,States/Local Areas,Indiana,2014,Age,24 Months,91.3,86.0 to 95.2,258
DTaP,≥3 Doses,States/Local Areas,Indiana,2014-2015,Age,24 Months,91.4,87.7 to 94.4,509
DTaP,≥1 Dose,States/Local Areas,Indiana,2017,Age,3 Months,87.1,81.7 to 91.0,304
DTaP,≥1 Dose,States/Local Areas,Indiana,2017-2018,Age,3 Months,87.4,83.7 to 90.4,576
Hep A,≥1 Dose,States/Local Areas,Indiana,2011,Age,19 Months,76.6,72.1 to 80.5,271
DTaP,≥1 Dose,States/Local Areas,Indiana,2019,Age,3 Months,87.7,80.2 to 92.7,209
DTaP,≥3 Doses,States/Local Areas,Indiana,2016,Age,24 Months,93.7,89.4 to 96.6,285
DTaP,≥3 Doses,States/Local Areas,Indiana,2016-2017,Age,24 Months,93.3,90.4 to 95.6,589
Hep A,≥1 Dose,States/Local Areas,Indiana,2012,Age,19 Months,79.3,78.0 to 80.6,307
Hep A,≥1 Dose,States/Local Areas,Indiana,2015,Age,19 Months,78.2,71.7 to 83.5,251
Hep A,≥1 Dose,States/Local Areas,Indiana,2015-2016,Age,19 Months,79.7,74.5 to 84.1,536
Hep A,≥1 Dose,States/Local Areas,Indiana,2014,Age,19 Months,83.8,77.0 to 88.8,258
Hep A,≥1 Dose,States/Local Areas,Indiana,2014-2015,Age,19 Months,81,75.9 to 85.2,509
Hep A,≥1 Dose,States/Local Areas,Indiana,2013,Age,19 Months,84.8,79.3 to 89.0,218
Hep A,≥1 Dose,States/Local Areas,Indiana,2013-2014,Age,19 Months,84.3,79.1 to 88.4,476
PCV,≥2 Doses,States/Local Areas,Indiana,2021,Age,5 Months,81.3,71.1 to 88.5,137
Combined 7 Series,,States/Local Areas,Indiana,2021,Age,35 Months,75.8,64.3 to 85.9,137
DTaP,≥1 Dose,States/Local Areas,Indiana,2016,Age,3 Months,83.5,77.1 to 88.4,285
DTaP,≥1 Dose,States/Local Areas,Indiana,2016-2017,Age,3 Months,85.3,81.2 to 88.6,589
DTaP,≥1 Dose,States/Local Areas,Indiana,2015,Age,3 Months,83.1,75.5 to 88.7,251
DTaP,≥1 Dose,States/Local Areas,Indiana,2015-2016,Age,3 Months,83.3,78.5 to 87.2,536
DTaP,≥1 Dose,States/Local Areas,Indiana,2014,Age,3 Months,83.4,76.7 to 88.5,258
DTaP,≥1 Dose,States/Local Areas,Indiana,2014-2015,Age,3 Months,83.3,78.4 to 87.2,509
DTaP,≥1 Dose,States/Local Areas,Indiana,2013,Age,3 Months,82.9,81.7 to 84.1,218
DTaP,≥1 Dose,States/Local Areas,Indiana,2013-2014,Age,3 Months,83.2,77.9 to 87.3,476
DTaP,≥1 Dose,States/Local Areas,Indiana,2011,Age,3 Months,80.7,78.4 to 82.9,271
DTaP,≥1 Dose,States/Local Areas,Indiana,2012,Age,3 Months,84.4,79.6 to 88.3,307
Hib,≥1 Dose,States/Local Areas,Indiana,2021,Age,3 Months,85.4,76.3 to 91.4,137
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,Indiana,2016-2019,Race and Ethnicity,"White, Non-Hispanic",80.6,76.7 to 84.4,652
Hep B,≥3 Doses,States/Local Areas,Indiana,2021,Age,19 Months,91.4,81.6 to 96.2,137
Hib,Primary Series,States/Local Areas,Indiana,2021,Age,7 Months,73.8,63.0 to 82.3,137
PCV,≥4 Doses,States/Local Areas,Indiana,2020-2021,Age,24 Months,84.6,78.9 to 89.4,369
DTaP,≥4 Doses,States/Local Areas,Indiana,2020-2021,Age,35 Months,87.4,81.6 to 92.0,369
Polio,≥3 Doses,States/Local Areas,Indiana,2014-2017,Overall,Overall,91.7,89.6 to 93.8,975
Polio,≥3 Doses,States/Local Areas,Indiana,2014-2017,Poverty,<133% FPL,88.7,84.8 to 92.7,337
Polio,≥3 Doses,States/Local Areas,Indiana,2014-2017,Poverty,133% to <400% FPL,92.9,89.9 to 95.9,405
Polio,≥3 Doses,States/Local Areas,Indiana,2014-2017,Poverty,>400% FPL,95.5,92.2 to 98.8,233
DTaP,≥3 Doses,States/Local Areas,Indiana,2018,Age,24 Months,92,87.0 to 95.7,272
DTaP,≥3 Doses,States/Local Areas,Indiana,2018-2019,Age,24 Months,93.2,89.6 to 95.8,481
DTaP,≥3 Doses,States/Local Areas,Indiana,2017,Age,24 Months,93,88.7 to 96.1,304
DTaP,≥3 Doses,States/Local Areas,Indiana,2017-2018,Age,24 Months,92.4,89.2 to 95.0,576
DTaP,≥2 Doses,States/Local Areas,Indiana,2017,Age,5 Months,80.4,74.3 to 85.4,304
DTaP,≥2 Doses,States/Local Areas,Indiana,2017-2018,Age,5 Months,79,74.5 to 82.9,576
Hib,≥3 Doses,States/Local Areas,Indiana,2017,Age,24 Months,87.5,82.1 to 91.9,304
Hib,≥3 Doses,States/Local Areas,Indiana,2017-2018,Age,24 Months,87.4,83.4 to 90.8,576
DTaP,≥3 Doses,States/Local Areas,Indiana,2019,Age,24 Months,94.3,88.8 to 97.7,209
Hib,≥3 Doses,States/Local Areas,Indiana,2016,Age,24 Months,87.6,81.7 to 92.3,285
Hib,≥3 Doses,States/Local Areas,Indiana,2016-2017,Age,24 Months,87.5,83.7 to 90.9,589
Hib,≥3 Doses,States/Local Areas,Indiana,2015,Age,24 Months,85.4,78.6 to 90.9,251
Hib,≥3 Doses,States/Local Areas,Indiana,2015-2016,Age,24 Months,86.4,82.1 to 90.2,536
Hep A,≥2 Doses,States/Local Areas,Indiana,2011,Age,24 Months,41.5,34.0 to 50.0,271
Hep A,≥2 Doses,States/Local Areas,Indiana,2019,Age,19 Months,25,18.4 to 33.1,209
Hep A,≥2 Doses,States/Local Areas,Indiana,2018,Age,19 Months,26.9,20.9 to 33.9,272
Hep A,≥2 Doses,States/Local Areas,Indiana,2018-2019,Age,19 Months,27.6,21.8 to 34.3,406
Hib,≥3 Doses,States/Local Areas,Indiana,2017,Age,35 Months,95.7,90.8 to 98.5,304
Hib,≥3 Doses,States/Local Areas,Indiana,2017-2018,Age,35 Months,94.6,90.5 to 97.3,576
Hib,≥3 Doses,States/Local Areas,Indiana,2016,Age,35 Months,89.6,83.7 to 94.0,285
Hib,≥3 Doses,States/Local Areas,Indiana,2016-2017,Age,35 Months,92.5,88.8 to 95.3,589
DTaP,≥3 Doses,States/Local Areas,Indiana,2014-2017,Insurance Coverage,Private Insurance Only,95.5,93.4 to 97.6,483
DTaP,≥3 Doses,States/Local Areas,Indiana,2014-2017,Insurance Coverage,Any Medicaid,90.2,86.8 to 93.7,434
DTaP,≥4 Doses,States/Local Areas,Indiana,2015,Age,19 Months,58.8,41.5 to 74.2,251
DTaP,≥4 Doses,States/Local Areas,Indiana,2015-2016,Age,19 Months,63.8,58.0 to 69.2,536
DTaP,≥4 Doses,States/Local Areas,Indiana,2014,Age,19 Months,67.2,59.5 to 74.1,258
DTaP,≥4 Doses,States/Local Areas,Indiana,2014-2015,Age,19 Months,63,57.2 to 68.5,509
DTaP,≥4 Doses,States/Local Areas,Indiana,2013,Age,19 Months,71.5,64.7 to 77.4,218
DTaP,≥4 Doses,States/Local Areas,Indiana,2013-2014,Age,19 Months,69.4,62.5 to 75.5,476
DTaP,≥3 Doses,States/Local Areas,Indiana,2014-2017,Race and Ethnicity,"Black, Non-Hispanic",96.6,91.5 to 100.0,66
DTaP,≥3 Doses,States/Local Areas,Indiana,2014-2017,Insurance Coverage,Uninsured,88.1,77.2 to 99.0,44
Hep A,≥2 Doses,States/Local Areas,Indiana,2012,Age,24 Months,44.3,37.1 to 52.2,307
Hib,≥3 Doses,States/Local Areas,Indiana,2018,Age,35 Months,92.6,85.8 to 96.9,272
Hib,≥3 Doses,States/Local Areas,Indiana,2018-2019,Age,35 Months,93.5,88.9 to 96.6,481
PCV,≥2 Doses,States/Local Areas,Indiana,2017,Age,5 Months,77.4,71.0 to 82.8,304
PCV,≥2 Doses,States/Local Areas,Indiana,2017-2018,Age,5 Months,75.5,70.9 to 79.7,576
Hep A,≥1 Dose,States/Local Areas,Indiana,2011,Age,35 Months,86,79.2 to 91.5,271
Hep A,≥1 Dose,States/Local Areas,Indiana,2019,Age,24 Months,90.9,83.6 to 95.9,209
Hep A,≥1 Dose,States/Local Areas,Indiana,2018,Age,24 Months,87,81.5 to 91.6,272
Hep A,≥1 Dose,States/Local Areas,Indiana,2018-2019,Age,24 Months,88.8,84.5 to 92.3,481
